,From,To,Value,Gas_price
0,0xa5a13f62ce1113838e0d9b4559b8caf5f76463c0,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,1.555998012e-11,5.1823614061127964e-05
0,0xae9e4f89ea5e12b7efa78dc8c27e545c14f887ab,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0.0,5.19377128245837e-05
0,0x2ee36e41387f87b7e6f678a86d1e575b23b996f5,0x0000000000a84d1a9b0063a910315c7ffa9cd248,2.9156833716479998e-08,5.17641298245837e-05
0,0x36a454aef52938c8637cd4689b2980c1cfd43389,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,1.004351238e-10,5.1823614061127964e-05
0,0x771277672df69973def99f944b03d787673c1426,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0.0,5.19377128245837e-05
0,0x38c4756d34142e3ebcde333c8348342606fad6ad,0xa5fee41a08dc6c0e7bab1790e4decf2c222ce134,0.0,0.0001970493584219711
0,0xc50037c0ba18f97dd15d537ca003d4f404671c9b,0xcbb011006eadd48a241eca39181be7834b93dd0b,0.0,5.254987328473194e-05
0,0x19e53a7397be5aa7908fe9ea991b03710bdc74fd,0xfa103c21ea2df71dfb92b0652f8b1d795e51cdef,0.0,5.199072511965111e-05
0,0x99a12829e47453be9104ef2f1c765d7d40a0cfe4,0x3d658390460295fb963f54dc0899cfb1c30776df,0.0,5.1850632654318866e-05
0,0x3a5d2ec412ad7f056446d21efeab163f9b40158e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,260.37449999999995,5.19183907401806e-05
0,0x9dda370f43567b9c757a3f946705567bce482c42,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,173.583,0.0002253471298245837
0,0x89d6739b62fe33769cc99e7d670a52cfb1374048,0x1d808a5d1220499d92e2d8fddf8f64b89ed6892f,0.0,0.00015978997793441528
0,0x7a7f78a2af5aef01a889e8713083ab77dcc9fc9b,0x1a54064735c45d49af2ebbbdcd60837fd101e97e,0.0,9.026316e-05
0,0x5a4cd9a16d78091013d81dd63fe20c32e5b56021,0x6dfc34609a05bc22319fa4cce1d1e2929548c0d7,134.4918653838,6.776680319999999e-05
0,0x86c399ebcb9b99e5a136c1a582828f981cc054e2,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,6.775427144648403e-05
0,0x38f16c4967ca15e2cbff2f79c4a8fdf63e0066b1,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0.0,6.6655872e-05
0,0x7de3dd7415a1a741abc4cbbf72550f0edcaef7ab,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,6.609205915458263e-05
0,0x285891e7e45ddada8f0720b84b7b16249758ed3e,0x292f04a44506c2fd49bac032e1ca148c35a478c8,221.11160500530002,6.39306189e-05
0,0x44609982b2e83ca5c348bba453bfa8363e8a2c22,0x1db0884bc5bb46ae41027d0786ea0bf68c96053f,3.1962667516823315,6.18823395e-05
0,0xf5720dd3a7e34368b09ad5a477eec20f3fb9e2e3,0x9c2a11c2cbc520d0b6d475f83b5d53c99e0fc08b,17.3583,6.0443279824583695e-05
0,0x9695f003e3f7c67229697e922e7d559abe546046,0x9c2a11c2cbc520d0b6d475f83b5d53c99e0fc08b,17.3583,6.0443279824583695e-05
0,0x47b2760bae1b088388360147394001f675f75fcc,0x9c2a11c2cbc520d0b6d475f83b5d53c99e0fc08b,17.3583,6.0443279824583695e-05
0,0x524e2e81c93085b3c9659baec87cf182edc3ca68,0x9c2a11c2cbc520d0b6d475f83b5d53c99e0fc08b,17.3583,6.0443279824583695e-05
0,0x2e6dfc600bbd257b73e756c5d0ca43fc98038ff4,0x9c2a11c2cbc520d0b6d475f83b5d53c99e0fc08b,17.3583,6.0443279824583695e-05
0,0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91,0xa8c8cfb141a3bb59fea1e2ea6b79b5ecbcd7b6ca,0.0,5.823535170443805e-05
0,0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91,0x298d492e8c1d909d3f63bc4a36c66c64acb3d695,0.0,5.823535170443805e-05
0,0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91,0x16eccfdbb4ee1a85a33f3a9b21175cd7ae753db4,0.0,5.823535170443805e-05
0,0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91,0xc19b6a4ac7c7cc24459f08984bbd09664af17bd1,0.0,5.823535170443805e-05
0,0xf16e9b0d03470827a95cdfd0cb8a8a3b46969b91,0xaf5191b0de278c7286d6c7cc6ab6bb8a73ba2cd6,0.0,5.823535170443805e-05
0,0x2d1f98169f8e6da288e6dd3f84ae0637bf850ef6,0x4e5b2e1dc63f6b91cb6cd759936495434c7e972f,8.731007921249999,5.728238999999999e-05
0,0xe05ec4178a1968fd5415542b2726d7a635c43f4f,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,52.07489999999999,5.69716198245837e-05
0,0x8eb871bbb6f754a04bca23881a7d25a30aad3f23,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0,5.5926492276958556e-05
0,0x07ef60deca209ea0f3f3f08c1ad21a6db5ef9d33,0xf403154141317e2c3fa9bbac3bfd014b23972006,6.8820959939895445,5.55829558245837e-05
0,0x8329d783f96e48d50f0f1f5a3c7f83b73a5c0218,0x30591e73c7e8f8ebcbfe11a42e7e96703c359974,36.39056104600588,5.5237525654583697e-05
0,0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,5.5235789824583695e-05
0,0x89e51fa8ca5d66cd220baed62ed01e8951aa7c40,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,5.5235789824583695e-05
0,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,5.5235789824583695e-05
0,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,5.5235789824583695e-05
0,0x28c6c06298d514db089934071355e5743bf21d60,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,5.5235789824583695e-05
0,0x0d1926f7a66f2f43415716ea605fb173265df48c,0xdbd4e4dfad791d2dcb551d4d8bb86aa0e50c5196,4531.0632079581,5.5235789824583695e-05
0,0x49284a876590f65fcc856850a1792cd6859cd6cc,0x243cacb4d5ff6814ad668c3e225246efa886ad5a,0.0,5.5235789824583695e-05
0,0xa4a570ca35d5b75a507a5d31cefbf805e51ea13b,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0,5.5235789824583695e-05
0,0x49284a876590f65fcc856850a1792cd6859cd6cc,0xe66b31678d6c16e9ebf358268a790b763c133750,0.0,5.5235789824583695e-05
0,0x28c6c06298d514db089934071355e5743bf21d60,0xff5aad08f43e489dde24147c9930a6f621bb3c1c,864.966866328,5.5235789824583695e-05
0,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0x6b175474e89094c44da98b954eedeac495271d0f,0.0,5.5235789824583695e-05
0,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,5.5235789824583695e-05
0,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,5.5235789824583695e-05
0,0x28c6c06298d514db089934071355e5743bf21d60,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,5.5235789824583695e-05
0,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,0x7186231e4899c7b0bb81cc6252c579807a60e3b1,243.3460077,5.5235789824583695e-05
0,0xb921067feb76e52ffc9a81ba4344d283370b20ea,0x15e87a1f5da6bda9c39960f94587386a531e6318,1832.8038787799999,5.5235789824583695e-05
0,0xf89d7b9c864f589bbf53a82105107622b35eaa40,0x9491203cc2ed125fc98c1cec32fa6e1469cd37f8,4135.6670499,5.5235789824583695e-05
0,0xfd5e1b8d9a7ff9d14bd535d75603f50f0d100b76,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,5.5095472862621726e-05
0,0x48c04ed5691981c42154c6167398f95e8f38a7ff,0x4fabb145d64652a948d72533023f6e7a623c7c53,0.0,5.4601423130789997e-05
0,0x48c04ed5691981c42154c6167398f95e8f38a7ff,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,5.4601423130789997e-05
0,0x2005ef38fde789c281fdd9b2faf6a5dc215dd6dc,0x461a8878060aa45fa685732bff654ca1fdef2830,0.0,5.43678748245837e-05
0,0x08432468fdfe4359519995ddea5c097e0dc6d338,0x97e18544e156724e4076945f10c288ecbbc94e54,0.0,5.43678748245837e-05
0,0xd9c65ff6482d150d9d3aed3476d2d5cec2c7859c,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,5.427398745810747e-05
0,0x905cddf834b258a7641bccbeb07b588fd1c03944,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.0,5.35237839003924e-05
