,From,To,Value,Gas_price
0,0x9ea32d564cfaf7e316914594e238e39e75e23030,0x70c66f3ce5a5387a70e2773d054eff572525c6f4,0.0,0.00012509553385230672
0,0x1ad8e9b45a7620c2e68ff6b972a6b4a6fb171f3e,0x70c66f3ce5a5387a70e2773d054eff572525c6f4,0.0,0.00012509553385230672
0,0x72aa4640c61639b8df7f135355995a75d295b9f9,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,5.8116111959999995e-11,0.00032176069253496046
0,0x0d93c617b84910be77e1ceb4d126a1e6d6018fc5,0xbfef411d9ae30c5b471d529c838f1abb7b65d67f,1.201505172e-11,0.00012447316801295782
0,0x111206594f2fb5927f719b4417ab1da3d41b14b1,0x000000adf684e05b0e33f8724fff2e9ce8cc6248,0.0,0.00012798286921121172
0,0x8bde3507421e12fa251e22c90fb6fbf935efc2f5,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0.0,0.00013023536401295783
0,0x1113efd5c8896ccf251ea360bb9d91f113707f80,0x000000adf684e05b0e33f8724fff2e9ce8cc6248,0.0,0.0012151382799737947
0,0x76f36d497b51e48a288f03b4c1d7461e92247d5e,0x4870525eae23fceb31df613d179ef6275e1b93a9,0.0,0.00023273495801109863
0,0x5e2b6c6b2240d582995537d3fafdb556e4a3822f,0x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,0.0,0.00012447316801295782
0,0xeb732b8e2420093307bedcec5484b194eb6dcfe7,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,0.0,0.00012464778001295782
0,0x346c802df3404bec2f265603db28b815321251ee,0x0000000000a84d1a9b0063a910315c7ffa9cd248,2.9322785233199997e-08,0.00012447316801295782
0,0x50efbf12580138bc263c95757826df4e24eb81c9,0x000000000035b5e5ad9019092c665357240f594e,0.0,0.00012447316801295782
0,0xbc5cf14909c454ff8da5fb6fc9cfb0ecaf51ae6d,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0.0,0.00012581768041295782
0,0x50efbf12580138bc263c95757826df4e24eb81c9,0x000000000035b5e5ad9019092c665357240f594e,0.0,0.0003611091218709051
0,0xccccdc941602f3e11547ed597f505e55453837d1,0x00000007f7a9056880d057f611e80c419f9b20c8,3.49224e-14,0.0001505874313064088
0,0x0cac3d1a887206e0f6169222c4504301a8b4b993,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,2.1014554199999996e-11,0.00012464778001470395
0,0x79b7a69d90c82e014bf0315e164208119b510fa0,0xc11ce44147c9f6149fbe54adb0588523c38718d7,2.9322785233199997e-08,0.0002726474850048414
0,0x77eb9084ce8168901bcb11f14f02a7aab36fcd0c,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,3.532749984e-11,0.00024177575769758556
0,0x9b2dfb8862e3f398b73206c879a1f38136f22908,0x9ea3cda5c2adf0370454b9ee28786a068227b1a4,0.0,0.00012447316801295782
0,0x6e4134bc93a19c789e74bff9b9354c588792ff33,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,0.0,0.00012588752521295785
0,0xda62f829497dda865c4380b74ddd8a818d2b4bb1,0x5df6434986b285143b060c0e07e1a8d79f5d1b8b,0.0,0.00012447316801295782
0,0xb18ccf69940177f3ec62920ddb2a08ef7cb16e8f,0xd249942f6d417cbfdcb792b1229353b66c790726,0.0,0.00018760193109926255
0,0x3f22f60936f4f5d1e96cedeb44bee66d0cd7c220,0x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,0.0,0.00012447316801295782
0,0x7e89ea913ea12945a63124c548c98d73b071166f,0x9ea3cda5c2adf0370454b9ee28786a068227b1a4,0.0,0.00012447316801295782
0,0x2e3381202988d535e8185e7089f633f7c9998e83,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0.0,0.00015356352721295784
0,0xe463f909e4aab91724d984bbc1490c7ad97453d4,0x0090eb43008a030065000000e70099482c00b6df,0.0,0.00013210186681824755
