,From,To,Value,Gas_price
0,0x77223f67d845e3cbcd9cc19287e24e71f7228888,0x00000000a991c429ee2ec6df19d40fe0c80088b8,1.44466391480502e-06,5.535067070480494e-05
0,0xb1bc5fac6a082f59c97f2989b3c31b5996d3a483,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0.0,5.5495087704804936e-05
0,0x77223f67d845e3cbcd9cc19287e24e71f7228888,0x00000000a991c429ee2ec6df19d40fe0c80088b8,1.4881403306051101e-06,0.00017120584709312447
0,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,4.494232200276001e-08,5.535067070480494e-05
0,0x729e729d404a8ddf662e1971eb3366f6a4454158,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,288.834,5.5495087704804936e-05
0,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,5.054881956579e-08,0.0001884300123071566
0,0x970d7c35c0ebb36f289bf9f964f28e1fd51a9a6e,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,14.4417,6.690403070480493e-05
0,0xb1bd29e35d7ca6f499ffc4180357a4d237e1e0de,0x81153f0889ab398c4acb42cb58b565a5392bba95,1.0090571327214917,5.535067070480494e-05
0,0xf45f7e4d4e92428883c557ed18c735a3d7a6300b,0x11972d7e8ab2274f342b6b340c91ccd50b0459eb,0.0,5.968318070480494e-05
0,0x05e379da062bbf07896392d34c2c7f7fa0bad9b6,0x11a2e73bada26f184e3d508186085c72217dc014,0.0,6.0655140000000004e-05
0,0xf8cdeb58c81a1c89f4fe9f309eae61512085c125,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,43.3251,6.257152070480494e-05
0,0x64641f5392414df5ef6902664b92eb84d7d5086f,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0.0,6.300477170480494e-05
0,0xa59df7e631d3e7d25889e3a1847537377ced97d8,0x820e72515f48d78c46807767bccb3037d75d9706,0.0,5.7516925704804934e-05
0,0x46340b20830761efd32832a74d7169b29feb9758,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,7.925254916009887e-05
0,0x9b44790e384fb981f33e4dd790977fee00916433,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,27.439230000000002,5.823901070480493e-05
0,0xce5d6720d335e13a3b5db3d68d5263b20bb05690,0xe66b31678d6c16e9ebf358268a790b763c133750,0.0,5.823901070480493e-05
0,0x9ed5e071dd2ae469b0ba4628e83d94035946b3ea,0x00000000000001ad428e4906ae43d8f9852d0dd6,101.09190000000001,5.823901070480493e-05
0,0x23a170b6f829435bd13850e79d790a0cd3d0fa8d,0x4d6283b4198c0039f2addc6a8784bbdef6e259eb,27.439230000000002,5.896109570480493e-05
0,0x48a14e4627c69af41c54294dab6a5d66eac45f13,0x6395fe593dff3231ea7c33e3941c96fc9aa8e3b8,1632.074540281847,5.896109570480493e-05
0,0xa29e0590699da31f719b803c2840c3750187d630,0x74312363e45dcaba76c59ec49a7aa8a65a67eed3,103.83582300000002,5.7516925704804934e-05
0,0xb27c2d019f123dc0fad3670b92f997bb2f739498,0x64e74608cef015cc5adc942df4e6b26a4e019a81,6.516095040000001,6.787599e-05
0,0xee76379bdf173b7f6858bb9eef0fdfcb06da220b,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0,6.498765e-05
0,0x27f3a1d082005d5b32a091718e2613c8b0e92658,0x7efd91c8ca31e7452c5c4de00a8ca1c18910a35f,0.0,5.535067070480494e-05
0,0xe84f81d5ff18233a8d3dbfe6642d1d80cd92eb80,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0,7.022215472343435e-05
0,0x8b4fc33dcd4d226d24b3c5149c7eea5363d0dc5c,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,5.931854861917803e-05
0,0xbefa1918cfd7a51200d54542fc26b0d69b40e822,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,7.022215472343435e-05
0,0x9696f59e4d72e237be84ffd425dcad154bf96976,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,5.823901070480493e-05
0,0x28c6c06298d514db089934071355e5743bf21d60,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,5.823901070480493e-05
0,0x48c04ed5691981c42154c6167398f95e8f38a7ff,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,6.0655140000000004e-05
0,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,5.823901070480493e-05
0,0xeb90222877d217eaabe4b698924d8222971ed314,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0,5.679484070480493e-05
0,0xc58ecd3fb580db172826f849a4692340d63f031b,0xcbd6832ebc203e49e2b771897067fce3c58575ac,177.87431258622544,8.136752055116959e-05
0,0x8778b76193bd0f1a1ed1408823d9cfff09576e87,0x0784ebc0062f108348143a96fd9f46a9ced9756a,4.1086636500000004,7.942935000000001e-05
0,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0xf0c9cb6f95fe13d77dab6e32e3ddb2598bb88f8a,10.10919,6.932016e-05
0,0x5173a68854914c30db7a28b8c9f5b6e179ba3b6b,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,14.4417,6.690403070480493e-05
0,0x4006a10e633b3766af1ee02900b920d38754438f,0x6284488ab4b59f635ae419926d65609031cd85c4,12.278230008455756,6.33760351461237e-05
0,0x4dc85855a503fb8f1a9ce0e1d88f7f10f0631714,0xe98cb830a4b325cda7672a4db8da89df1c91ab23,7.9464314684033575,6.254795093046864e-05
0,0x26fd09c8b44af53df38a9bad41d5abc55a1786af,0x87d9da48db6e1f925cb67d3b7d2a292846c24cf7,0.0,6.200056816318092e-05
0,0x9afa066884ce723200438b672c0b8d5769e03a6a,0xcf5988cedfc2cbe576fd486edeaee513bf6f1fea,43.3251,6.1954893e-05
0,0x89a500ae0097f7f2a124dcdc18d8056bc6d856dc,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,14.4417,5.968318070480494e-05
0,0xa7432f9bb365a3eeafb78aeb98b1128832dbcda1,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,14.4417,5.968318070480494e-05
0,0x84ca9f6e928778230e7388f7e82c6bbf1461556d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,11.553360000000001,5.968318070480494e-05
0,0x499a1b7cd389033ceb0c7a0fadf5161adc068592,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,14.4417,5.968318070480494e-05
0,0x8665881ec88da1c2992bbf6887c1663c3adfa65e,0x8665881ec88da1c2992bbf6887c1663c3adfa65e,0.0,5.921097000000001e-05
0,0x01593e1b086fb7e9b3afe12eb863f97c8654d3aa,0x43f11c02439e2736800433b4594994bd43cd066d,0.0,5.823901070480493e-05
0,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0xea893149785e360adce63b78e9bc21138428d768,3969.7344960000005,5.823901070480493e-05
0,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0x15d4c048f83bd7e37d49ea4c83a07267ec4203da,0.0,5.823901070480493e-05
0,0x1431fb12a36e3d7507fb90fa726858417f7097dc,0x1970b8eef532961283c8a6a355c7355db891f5f2,103.11113813390233,5.823901070480493e-05
0,0x9696f59e4d72e237be84ffd425dcad154bf96976,0xd62f337222f95990cc06a2ca5dfc0217ead61412,30.593152863,5.823901070480493e-05
0,0x4976a4a02f38326660d17bf34b431dc6e2eb2327,0xab1f324276c1bd57ce54155193016b0cc254b539,58.43256237,5.823901070480493e-05
0,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,5.823901070480493e-05
0,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0x111111111117dc0aa78b770fa6a738034120c302,0.0,5.823901070480493e-05
0,0x28c6c06298d514db089934071355e5743bf21d60,0xcd930ef7722cf8de34490e209ca03638283ce868,999.9627320865001,5.823901070480493e-05
0,0x0abf04daa9cf8aff56eaab461beb2fc21f8eb749,0xdac17f958d2ee523a2206206994597c13d831ec7,1.39199069373e-05,5.7622383000000006e-05
0,0xa042efc7abfe5cead4fc6135f474e1dfa324b1d0,0xcac0f1a06d3f02397cfb6d7077321d73b504916e,14.4417,5.7516925704804934e-05
0,0xa93f1a752380b760907ddbc784288d2e67e09a38,0xc84fe1def1f7aa5c14ebab2f308cd609f80995ca,72.2085,5.7516925704804934e-05
0,0x17f1a51da68d27c94d2a51d92b27b5bd4718b986,0xc912b85a693025f88858fb7329cde291b1efa9fa,21.259239532440002,5.679484070480493e-05
0,0xfd5c1c3d086a9cc0f21beab6dde3900c9351fc59,0x6b175474e89094c44da98b954eedeac495271d0f,0.0,5.679484070480493e-05
0,0xc600832a8cae6217d44d31a9c5a7250c23bcfcde,0x71b4f2728c02fc489f0e22429f58cf820d20e18a,57.7523583,5.679484070480493e-05
0,0x304b4dfec1fb93bdc27a0cab1ea2b3c9cce49d80,0xd6f62d5a31e0d8a6c62e4ca90a403cdc69c0660b,592.1097,5.679484070480493e-05
0,0xedf06699474ae162f2d567a05ade66a3ff28b2e5,0x1111111254fb6c44bac0bed2854e76f90643097d,0.0,5.679484070480493e-05
0,0xb81123539f87dbc3fa6b63486a41ad628f9d0fa5,0xab6a9e8ca067085575a9dd161bd68fa6aca18e42,0.0,5.679484070480493e-05
0,0x1cc7f1a7fe2bb4e8100cdd0619f8c6272f946db0,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0.0,5.6322630000000004e-05
0,0xd3e14f762b88b85b1e626f95fe511b27572544c7,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0,5.6322630000000004e-05
0,0xa74ab35d147adbd51bff71d675c6e9a802bfede9,0x6bb8c5345134d9a1ec015d1b40f7538802063661,206.27318895139445,5.6322630000000004e-05
0,0x314e5c5912768b32518c5a88e41f45d465006340,0x58b1e33d637d5b3adfaeb0ffe9c452364bde4bf0,144.417,5.592833870480493e-05
0,0x30c5312d9cf0d873994f000e72f1cbf561d0209c,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0.0,5.59167932747424e-05
0,0x6b8cd04f004d6216f899df5463f2ea4646b5c47e,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0,5.5856130204804934e-05
0,0x9814e114c7a15e9f8e1f167986d817f8323b61a7,0xd54f502e184b6b739d7d27a6410a67dc462d69c8,0.0,5.578392170480493e-05
0,0x7af9d3fa3f2e9699be6521df6c916fa6e36bc923,0x881d40237659c251811cec9c364ef91dc08d300c,0.0,5.578392170480493e-05
0,0x895d455d4d76749a556abfb54100986ecbd088da,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0.0,5.578392170480493e-05
0,0xa37874fc1ae40c20c27d34e62fb03aeb94d6b1e3,0xdd69db25f6d620a7bad3023c5d32761d353d3de9,0.0,5.578392170480493e-05
0,0xa69715c083ffd664148b810c33aad47208bb88a2,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0.0,5.578392170480493e-05
0,0xfe10f9af8ba0113f35785fdb992e2b4cb50bb046,0x11a2e73bada26f184e3d508186085c72217dc014,0.0,5.578392170480493e-05
0,0xa69715c083ffd664148b810c33aad47208bb88a2,0x881d40237659c251811cec9c364ef91dc08d300c,0.0,5.578392170480493e-05
0,0xa21740833858985e4d801533a808786d3647fb83,0x9008d19f58aabd9ed0d60971565aa8510560ab41,0.0,5.577038584166322e-05
0,0xadc0a63541eeb03325bf5a85e1ed3e0fd2f066ee,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,5.5726154904804934e-05
0,0x375d8b29a36d031115e23f37f1633a2a7a1a0d6e,0x1e2f15302b90edde696593607b6bd444b64e8f02,0.0,5.556729620480493e-05
0,0x68a09ef5348ff3cd893ade0d94e35c54ac411a54,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,0.0,5.5495087704804936e-05
0,0x265bc98d54158a601b5bf8ba6513a6c7a4467f69,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0.0,5.5495087704804936e-05
0,0xacee821cbbcd415ed734c3cda3e22bbda2472cc4,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1010.919,5.5495087704804936e-05
0,0x9f249c5e0dca9a530317f54e65fe104d3191deee,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,534.3429,5.5495087704804936e-05
0,0x1073e98023267413efd9dfe0edf656e28d0bfd2d,0x03f7724180aa6b939894b5ca4314783b0b36b329,3754.842,5.5495087704804936e-05
0,0x31f45f2278a23ef31a5485d3aa98178e7f39710d,0x954d5088d88291146ce58270add820e809ff3d7e,0.0,5.5495087704804936e-05
0,0x5caafd1ff539d4e58a4b6c8e79387508504230f2,0xeb953eda0dc65e3246f43dc8fa13f35623bdd5ed,0.0,5.5495087704804936e-05
0,0xce9bf15e9903da0f0a008a6369d02f3affa7f0d8,0x79a2ab37e19a38424a01a4f4478d6a8f2131bb17,288.834,5.5495087704804936e-05
0,0xb6614205126873e0468c589232f04ecdeb931bf6,0x2f30413908cfc0e9ed02b8ee93633382245436d9,2.166255,5.5495087704804936e-05
0,0xe9b3cb748b50a863deccf8e9a8573e2619d2947c,0xffa3e2dd045c6aaa9acc4d068cf97c957f3eb47d,288.834,5.5495087704804936e-05
0,0x2133352095925e76968d3a6890ea874cbcdcf314,0xf3a3023e6dede84ad88a656a3269f2a36e83c9a9,0.0,5.5495087704804936e-05
0,0x63e958ebe3d13869593c6e78427d80f176255f71,0xfa1b15df09c2944a91a2f9f10a6133090d4119bd,0.9964773,5.5495087704804936e-05
0,0x84f171b4951fc6361655b28e4923f0f0c9737e3a,0x60fb74003853dc2d5760bdecaa4f3ac99efcd6f5,101.09190000000001,5.5495087704804936e-05
0,0xed6496624b38ebab0407b5df403e9994ca34cf6a,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0.0,5.5495087704804936e-05
0,0xe35b709699f85d1c650f7d595030e1a7aba4621e,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0.0,5.5495087704804936e-05
0,0x0cdb9370b99347b054cb10594587a43533bca366,0x0000000000a39bb272e79075ade125fd351887ac,0.0,5.5495087704804936e-05
0,0xad302d39441d31ad63674f62eeea26c2663d78fd,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,5.5495087704804936e-05
0,0x65720bb1f5d0bad279e6fb3e03b116771d0321fc,0xbd18e233e12f2a066f5b5a351285ab5a39b1f2ac,0.0,5.5495087704804936e-05
0,0xb24722bf4f49e57dc8ed7e85cd8295a0bf0c549a,0x34d85c9cdeb23fa97cb08333b511ac86e1c4e258,0.0,5.5495087704804936e-05
0,0x7929318e166110710fad49049dc98db516a901a4,0x5f91aa0e4b5622b2c738decf7c00d6b215d48980,0.0,5.5495087704804936e-05
0,0x2e8f6f8662593134dc8311e312885921855332bc,0x4db52a61dc491e15a2f78f5ac001c14ffe3568cb,0.0,5.5495087704804936e-05
0,0xad8272f7ac2c70520ce785db26cbdcdd1a450c76,0x1111111254eeb25477b68fb85ed929f73a960582,0.0,5.5495087704804936e-05
0,0x62050220633afe524d98fe3fccadbeacc2b96110,0x000000000000ad05ccc4f10045630fb830b95127,0.0,5.5495087704804936e-05
0,0xadab501d2b34d0e0a7e80f5c6cbebe0bd495709c,0x00000000000001ad428e4906ae43d8f9852d0dd6,38.99259,5.5495087704804936e-05
0,0x1a51bcbc8d3642680d8267550f54e6e4cc5c4984,0x000000000000ad05ccc4f10045630fb830b95127,0.0,5.5495087704804936e-05
0,0xde657b7dc9637b30e655d6c583b0690679e2945f,0x97d4f49eeb0e2c96d5ebaa71ab8418e563ecd9fd,0.0,5.5495087704804936e-05
0,0xa9998ed2c2af6d4bdb47a6ef168b3a9a6aeec3ab,0x00000000000001ad428e4906ae43d8f9852d0dd6,28.8834,5.5495087704804936e-05
0,0x8665881ec88da1c2992bbf6887c1663c3adfa65e,0x2e34c4a92984f4ac21dd04cc676567c81acbbbad,0.0,5.5495087704804936e-05
0,0x6f533e0048fb573cd45c0aa9dc31b5c6ebce02df,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,144.417,5.5495087704804936e-05
0,0x65720bb1f5d0bad279e6fb3e03b116771d0321fc,0xbd18e233e12f2a066f5b5a351285ab5a39b1f2ac,0.0,5.5495087704804936e-05
0,0x1d7224f0070f26e1fb05d7891b06ad6f746f7f20,0x000000000000ad05ccc4f10045630fb830b95127,0.0,5.5495087704804936e-05
0,0xb2da8a18710337658d37ec027fac3ef97e683d06,0xbf9a1d1806461dc0acfec73538876395aed4fa32,36.10425,5.5495087704804936e-05
0,0xe5e386dbf68597c435b7086d42cfe63c924a8ab9,0x00000000000001ad428e4906ae43d8f9852d0dd6,2505.63495,5.5495087704804936e-05
0,0x7cc7ccd815e630f5e95a1f6347aad6599109b9fa,0xd4f5f0a39fa7886fb8db20d98ab80d262ed1c460,278.7555577230446,5.5495087704804936e-05
0,0x1117977de987153356508c5d9677540968a54e45,0x43df199c3f94d03655aae6f5e7ec70a9b4b4fde4,28.8834,5.5495087704804936e-05
0,0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,0xcbfa884044546d5569e2abff3fb429301b61562a,50.597807102374844,5.535067070480494e-05
