,From,To,Value,Gas_price
0,0xdcd6968c5e40a6b26cabca51e818b0404082c156,0x16df26d0a2ab551c4d84ba49e7048f7db1bc5ae0,434.525,0.00043452499999999995
0,0xdcd6968c5e40a6b26cabca51e818b0404082c156,0xbbf414eb826c275b92dd1556201f596844bde270,248.54829999999995,0.00043452499999999995
0,0xdcd6968c5e40a6b26cabca51e818b0404082c156,0xfaacee6963efaf2c34299fb533f8c056fee04192,173.81,0.00043452499999999995
0,0xdcd6968c5e40a6b26cabca51e818b0404082c156,0x97fd87cc32ed4ccee07b17e1159e9aca85b223ab,1776.3382,0.00043452499999999995
0,0xdcd6968c5e40a6b26cabca51e818b0404082c156,0xef02eef7ac75ea12215bbdb202bfb6386850d634,213.78629999999998,0.00043452499999999995
0,0xdcd6968c5e40a6b26cabca51e818b0404082c156,0x40aef9e3beb3c92eed1a94d8df4857e4f88a8741,43.4525,0.00043452499999999995
0,0xbb352f6bb427b57cd525b28161c551c1f13a90c2,0x280027dd00ee0050d3f9d168efd6b40090009246,0.0,0.0001302270004746347
0,0x5fbe4f165d0e81cbe2c0e8475b935c9ad9f00e61,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,173.81,0.00011774955747640538
0,0xd1837292b5e627851790af91db7c60f7c835023d,0xd37bbe5744d730a1d98d8dc97c42f0ca46ad7146,74.654280246,6.9524e-05
0,0x31e9b3373f2ad5d964cad0fd01332d6550cbbde6,0x1b81b5cda4e1a7536508537bf8023a654a1d53a9,491.713339299,6.47210246013422e-05
0,0x6238872a0bd9f0e19073695532a7ed77ce93c69e,0x473037de59cf9484632f4a27b509cfe8d4a31404,0.0,5.82230605206068e-05
0,0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x55404bde53423030f7f50de86b9c4167165cf61e,0.0,5.691605747640539e-05
0,0xc6d39d08c2e1426d2e677a6fe31ec8651a40ba04,0x876da788e213b585b1d33582647d40038165e14f,731.653195,5.3881099999999995e-05
0,0xb4250f715995683c6ea5bc7c5e2cdf9b1601ba3f,0xeee4ad0b82d3417d4efd519232702df847bc0a49,0.0,5.02443819824401e-05
0,0xb01cb49fe0d6d6e47edf3a072d15dfe73155331c,0x4fe73e6d2472915cf51a80e68a025fba820c3942,22.595299999999998,4.99636574764054e-05
0,0x2e8fdea083672d7df8e61137f435516b21f9c5d5,0xdfdd3459d4f87234751696840092ee20c970fb07,0.0,4.82411923324786e-05
0,0xa011e9df010b6b55cd7c1b688fd1d8931e6628ce,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,173.81,4.82255574764054e-05
0,0xc7b3f6b5407c2f3e909d61e4528268004210d765,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,59.0954,4.47493574764054e-05
