,From,To,Value,Gas_price
0,0xdd8ef55055e01d39cb87571bd38c43ab9b5903a5,0xf8b721bff6bf7095a0e10791ce8f998baa254fd0,0.0,3.48782387274902e-05
0,0x05d5f79fa097832c7b13b06dd6dff250e5bcbcc0,0xf8b721bff6bf7095a0e10791ce8f998baa254fd0,0.0,3.48782387274902e-05
0,0x50c2586fe50b2aa877d0e26a6252949d089dfe4b,0xf8b721bff6bf7095a0e10791ce8f998baa254fd0,0.0,3.48782387274902e-05
0,0x53857598f76b869aa152bd894434ec0888d02b57,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,4.712065713584245e-05
0,0x33f401238a7f5df6e918e590a7d02fb2d48c8963,0x97b65710d03e12775189f0d113202cc1443b0aa2,0.0,4.7045148727490204e-05
0,0x2322a47f0ba16da435016492dfd9738373708314,0x388acd69372581c8e00c73f7d09905c22d2f8897,0.0,4.676601662717414e-05
0,0x5e53e54b4a267f1d96af7b44a237072a21f7577a,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0.0,4.5625912500000004e-05
0,0x34e1688bc42d49bcb25346f1aa43a238b6d117d0,0x4ec1b60b96193a64acae44778e51f7bff2007831,0.0,4.546862410005682e-05
0,0x3439e42aa437ba8b32342c4ca6878b0ea6a5c5b5,0x31304240836af5590adacf27585c44d2353e4b97,61.628167698223784,4.498008699886735e-05
0,0x9e4b2e13101b7a7973f90f169d27ccc264216c40,0x48fe87ae9243b5a0ac8f4f94fbfe10138f34cec9,697.9098078468805,4.498008699886735e-05
0,0x00a06de19c5fe53c13dfec4e1658c165594248cc,0x31d3374d335d9635b354d6b9533c2a4baa3156f7,49.05215426292593,4.498008699886735e-05
0,0x8a455872de32994652376c25534fb179aeda6796,0x708d8c400918b1ab048efb7220cd15eb6fee36ca,2.7461150402500003,4.1715120000000005e-05
0,0xd2f9ab0ab9a7966649321b29223c3a3a778403fb,0xf36bf71e7b6ca67e81d16574f3f54c54a63a3238,2.7461150402500003,4.1715120000000005e-05
0,0xb27a89e47b4d28fc987f3cf3365e15ad2aea8a47,0x050e18356dd41ec779c3616502fcb6410d363b17,2.7461150402500003,4.1715120000000005e-05
0,0xae281e403878d8f391615a341daea849ef084921,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,3.9976990000000006e-05
0,0xd108fd0e8c8e71552a167e7a44ff1d345d233ba6,0x77a506ca45aa3a5fae5ba31c48af34dc7339ead3,22.769503000000004,3.9830171097490197e-05
