,From,To,Value,Gas_price
0,0x79f01183e6e364098db23ba853aef9af30e13733,0x32be343b94f860124dc4fee278fdcbd38c102d88,2089.6775289415996,0.00010446539999999998
0,0x23f2d0fd3b4c98fb1698564deb4898275e2e831f,0x32be343b94f860124dc4fee278fdcbd38c102d88,2421.155575384,0.00010446539999999998
0,0x9fa88512e871481291d0416ceff5b3764f840aed,0x32be343b94f860124dc4fee278fdcbd38c102d88,1964.6803599384,0.00010446539999999998
0,0x1543667b9bad3e41865c3233e1764d8dda8e1f3d,0x32be343b94f860124dc4fee278fdcbd38c102d88,8619.821452709999,0.00010446539999999998
0,0x569dd5eb83f3cec4ad32bbcf28b0d07a98704105,0x32be343b94f860124dc4fee278fdcbd38c102d88,3526.9249683460002,0.00010446539999999998
0,0x2a65aca4d5fc5b5c859090a6c34d164135398226,0x762e8102d14b06c759abeec70adc25bea1e1387f,1849.2394071528001,8.705449999999999e-05
0,0x0c5437b0b6906321cca17af681d59baf60afe7d6,0x0c5437b0b6906321cca17af681d59baf60afe7d6,3245101.742407853,8.705449999999999e-05
